40x2.6,40,40,2.6
40x3.2,40,40,3.2
40x4,40,40,4
40x5,40,40,5
50x2.6,50,50,2.6
50x3.2,50,50,3.2
50x4,50,50,4
50x5,50,50,5
50x6.3,50,50,6.3
60x2.6,60,60,2.6
60x3.2,60,60,3.2
60x4,60,60,4
60x5,60,60,5
60x6.3,60,60,6.3
60x8,60,60,8
70x3.2,70,70,3.2
70x4,70,70,4
70x5,70,70,5
70x6.3,70,70,6.3
70x8,70,70,8
80x3.2,80,80,3.2
80x4,80,80,4
80x5,80,80,5
80x6.3,80,80,6.3
80x8,80,80,8
90x4,90,90,4
90x5,90,90,5
90x6.3,90,90,6.3
90x8,90,90,8
100x4,100,100,4
100x5,100,100,5
100x6.3,100,100,6.3
100x8,100,100,8
100x10,100,100,10
120x5,120,120,5
120x6.3,120,120,6.3
120x8,120,120,8
120x10,120,120,10
120x12.5,120,120,12.5
140x5,140,140,5
140x6.3,140,140,6.3
140x8,140,140,8
140x10,140,140,10
140x12.5,140,140,12.5
150x5,150,150,5
150x6.3,150,150,6.3
150x8,150,150,8
150x10,150,150,10
150x12.5,150,150,12.5
150x14.2,150,150,14.2
150x16,150,150,16
160x5,160,160,5
160x6.3,160,160,6.3
160x8,160,160,8
160x10,160,160,10
160x12.5,160,160,12.5
160x14.2,160,160,14.2
160x16,160,160,16
180x5,180,180,5
180x6.3,180,180,6.3
180x8,180,180,8
180x10,180,180,10
180x12.5,180,180,12.5
180x14.2,180,180,14.2
180x16,180,180,16
200x5,200,200,5
200x6.3,200,200,6.3
200x8,200,200,8
200x10,200,200,10
200x12.5,200,200,12.5
200x14.2,200,200,14.2
200x16,200,200,16
220x6.3,220,220,6.3
220x8,220,220,8
220x10,220,220,10
220x12.5,220,220,12.5
220x14.2,220,220,14.2
220x16,220,220,16
250x6.3,250,250,6.3
250x8,250,250,8
250x10,250,250,10
250x12.5,250,250,12.5
250x14.2,250,250,14.2
250x16,250,250,16
260x6.3,260,260,6.3
260x8,260,260,8
260x10,260,260,10
260x12.5,260,260,12.5
260x14.2,260,260,14.2
260x16,260,260,16
300x6.3,300,300,6.3
300x8,300,300,8
300x10,300,300,10
300x12.5,300,300,12.5
300x14.2,300,300,14.2
300x16,300,300,16
350x8,350,350,8
350x10,350,350,10
350x12.5,350,350,12.5
350x14.2,350,350,14.2
350x16,350,350,16
400x10,400,400,10
400x12.5,400,400,12.5
400x14.2,400,400,14.2
400x16,400,400,16
400x20,400,400,20
