UAP 80,80,45,8,5
UAP 100,100,50,8.5,5.5
UAP 130,130,55,9,5,6
UAP 150,150,65,10.25,7
UAP 175,175,70,10.75,7.5
UAP 200,200,75,11.5,8
UAP 220,220,80,12,8
UAP 250,250,85,13.5,9
UAP 300,300,100,16,9.5
